tier,leagueId,queue,name,date,summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-11,KNUZej_ZNLEKZV9DW7wW_221ZIkIz0caaHaC4Tv-dTbJgCo,dymon,586,I,107,98,False,False,True,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-11,Ouh08doTd3AzinYtnnYZsMgXjJCroTEsrD9b8EvlfD7_kAs,RED NINJA TURTL3,548,I,193,168,False,False,False,True
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-11,P82OC7L3XydyeIT_8hwGKxMDMwVofzcJI2mEZ9s3cZKrdFI,eepy idiot,575,I,493,493,False,False,True,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-11,HL61FEwVW6DRBULrg_9s4_KpnJB0gO4QGqiGkES2Ww20nyk,Wocaoo,535,I,183,158,False,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-11,xyyihgwP2kr4Q6p8SYWDaYepfRtgrhzgEtvQq7n3nL04eN4,TheePaint,575,I,284,248,False,False,True,True
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-11,tV175V6NT6eyuDls2denOvsFx4cnvztHKa1GrNo4qRWVCbI,leesin4,538,I,186,154,False,False,True,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-11,fDzCTkhflj1vV4vxJ7qGUc6vHVT3UVz1JjpvWkdhpLVwbYs,Kriffi,585,I,106,80,False,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-11,k6E6YY09zIUeCRZKDwIAnTYhEpbtxf4kfEejRtWnp2Ou15U,Zerelix,533,I,161,141,False,False,True,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-11,9S-xiHzCYf6jEUSp-My-5YMgL9mLmStSvnvsx-RKFm8EbBHU,emPs,534,I,170,153,False,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-11,lMN5ecFXphYrWH-7r-LaI8u5HeHmkD9KgshQvg-CJjJ6RLyz,send rope,669,I,391,372,False,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-11,DC9yEhhQ2uRaVrSeCDOJq6TxZtlHLV1-JFxEveeu1TrSIBqiwtj4hyw4xA,cant run away,649,I,205,160,False,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-11,Pri3dJWbSGqPHzebWkkOVrrhaeQYx250FHSALrH-hI2qChA,Frosted E,528,I,260,245,False,False,True,True
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-11,W5dptjaVN6WnMSP17xM6Dr0CnUWTPhb8gVy-HfuZwhZWy7b4,Bellydrum,590,I,227,216,False,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-11,u9vB2KcRfGdwvUmhI4a-VUiWTf4WpPn-XMRw1613ecOAJ14,Urason,528,I,221,203,False,False,True,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-11,GXyPRQFL3KnOIzDqzedkZGqJYsU3dPdnjieeE093-rBIoX_bvC0td2N8Rw,Chompi,535,I,124,104,False,False,True,True
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-11,XFeXtOI5o8-tVCGfLvWAdS2letMlCM5EXf0TfjMDUoDNQh8,Hyattie,625,I,117,97,False,False,False,True
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-11,jbacSzwMzKVinxrDJmqr0OYKYi6SwxhRu_-176SLq8HRoUg,johnnguyeo,785,I,208,164,False,False,True,False
